"quest_number","title","description","requirement","category","required_discoveries","target_genus_name","target_species_name","id","created_date","updated_date","created_by_id","created_by"
"252","Oh Wacholder, oh Wacholder ...","Wenn Weihnachten naht, dekorieren viele Menschen Tannenb?ume ? meist Nordmann-Tannen oder Blautannen, die in Mitteleuropa urspr?nglich gar nicht heimisch waren, sondern gezielt f?r den Verkauf angebaut werden. Sie sind besonders gleichm??ig gewachsen, nadelstabil und halten in Wohnungen lange ihre gr?ne Farbe, weshalb sie sich als Christbaum etabliert haben. Doch in unseren heimischen Landschaften gibt es auch immergr?ne Pflanzen, die den Winter ?berdauern und ?kologisch wertvoll sind: Der Wacholder.

Der Wacholder ist in Deutschland heimisch, w?chst auf Trockenrasen, Heiden und in lichten W?ldern und bleibt auch im tiefsten Winter gr?n. Seine kleinen blauen Beeren dienen V?geln als Nahrung, und seine dichten Zweige bieten Schutz f?r Kleintiere wie Igel. Entdecke einen Wacholder und lerne, wie heimische immergr?ne Pflanzen das ?kosystem im Winter aktiv unterst?tzen ? w?hrend der Weihnachtsbaum vor allem kulturelle Bedeutung hat.

Vielleicht stolpert ihr beim Spazieren mit der Familie einen immergr?nen Wachholder. PlantDex w?nscht besinnliche Tage und ein frohes, neues Jahr!","Scanne einen Wacholder mit gr?nen Nadeln oder blauen Beeren.","B?ume","1","Wacholder","","6946dcf1fcd9c70f9e83fdad","2025-12-20T17:29:21.059000","2025-12-20T17:29:21.059000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"251","Fr?chte im Winter","Die Schneebeere tr?gt im Winter auff?llige wei?e Beeren, die vielen V?geln Nahrung bieten, wenn sonst kaum etwas verf?gbar ist. Ihre dichten Zweige bieten zus?tzlichen Schutz vor K?lte und Wind. So wird die Pflanze zum wichtigen Bestandteil des winterlichen ?kosystems, obwohl sie selbst inaktiv wirkt. Finde eine Schneebeere und entdecke, wie Fr?chte im Winter Leben sichern.","Scanne eine Schneebeere die jetzt ihr Fr?chte tr?gt.","Str?ucher","1","Schneebeere","","6946d971495e277ee0567c91","2025-12-20T17:14:25.476000","2025-12-20T17:14:25.476000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"250","Wintergr?n im Garten","Der Liguster beh?lt auch im Winter seine Bl?tter, wodurch er nicht nur Struktur in G?rten und Heckenanlagen bietet, sondern auch Kleintieren wie Igeln und V?geln Schutz und Versteckm?glichkeiten bietet. Seine dichte Blattmasse hilft, den Lebensraum w?hrend der kalten Jahreszeit zu sichern. Entdecke einen Liguster und erfahre, wie immergr?ne Hecken das Winterleben im Garten f?rdern.","Suche und scanne eine immergr?ne Ligusterhecke, die auch jetzt noch Schutz spendet.","Alle","1","Liguster","","6946d8dbfe3e3c3caca038c5","2025-12-20T17:11:55.418000","2025-12-20T17:11:55.418000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"249","Immergr?n, robust und giftig.","Die Eibe bleibt das ganze Jahr ?ber gr?n, auch mitten im Winter. Ihre Nadeln sind schmal, wachsig und widerstandsf?hig gegen Frost, Wind und Trockenheit. So kann die Pflanze auch im Winter Photosynthese betreiben und Energie speichern. Ihre auff?lligen roten Beeren enthalten Samen, sind aber giftig f?r Menschen ? nur V?gel k?nnen sie problemlos fressen und verbreiten. Die Eibe zeigt exemplarisch, wie Pflanzen auf lange Lebensdauer, Winteraktivit?t und spezialisierte Samenverbreitung setzen. Finde eine Eibe mit Nadeln oder roten Beeren und entdecke, warum manche Pflanzen den Winter aktiv nutzen.","Scanne eine Eibe mit gr?nen Nadeln oder roten Beeren.","Str?ucher","1","Eibe","","6946d3e09edaff28ff233657","2025-12-20T16:50:40.738000","2025-12-20T16:50:40.738000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"248","Gesunde Snacks im Winter","Wintergr?n und essbar ? die kleine Energiequelle in der kalten Jahreszeit.
W?hrend viele Pflanzen im Winter ruhen, zeigt der Winterportulak, dass es auch anders geht. Seine gr?nen, fleischigen Bl?tter ?berdauern Frost und K?lte, speichern Wasser und N?hrstoffe und bieten so eine der wenigen essbaren Pflanzen in der kalten Jahreszeit. Urspr?nglich in Nordamerika beheimatet, ist der Winterportulak heute auch in st?dtischen G?rten, auf Beeten und Schotterfl?chen in Mitteleuropa verbreitet. Finde einen Winterportulakbestand - m?glicherweise findest du ihn auch auf Balkong?rten von Freunden. ","Scanne einen Winterportulak mit gr?nen Bl?ttern.","Blumen","1","Tellerkraut","","6946d330ed63c6bc52e05e20","2025-12-20T16:47:44.980000","2025-12-20T16:47:44.980000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"246","Wenig gen?gt","Die Kiefer w?chst dort, wo andere B?ume kaum noch bestehen k?nnen: auf trockenen, sandigen oder n?hrstoffarmen B?den. Ihre langen, paarweise angeordneten Nadeln sind von einer dicken Wachsschicht umgeben und sch?tzen den Baum vor K?lte und Wasserverlust. Auch im Winter bleibt die Kiefer gr?n und kann an milden Tagen Photosynthese betreiben. Ihre Zapfen ?ffnen sich oft erst bei trockener Witterung und geben die Samen schrittweise frei. Die Kiefer zeigt exemplarisch, wie Pflanzen mit sparsamen Strategien extreme Bedingungen meistern. Finde eine Kiefer und entdecke, warum Anspruchslosigkeit ein Erfolgsmodell ist.","Scanne eine Kiefer mit Nadeln oder Zapfen.","Alle","1","Kiefer","","6946cf99289456c580d0b374","2025-12-20T16:32:25.162000","2025-12-20T16:32:25.162000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"247","Bl?hen trotz K?lte","Mitten im Winter, oft zwischen Schnee und gefrorenem Boden, ?ffnet die Christrose ihre gro?en, hellen Bl?ten. Statt den Winter zu meiden, ist sie genau an diese Zeit angepasst. Ihre Bl?ten sind k?lteresistent, und die Pflanze nutzt kurze milde Phasen f?r Wachstum und Fortpflanzung. Urspr?nglich stammt die Christrose aus kalkreichen Gebirgsregionen S?ddeutschlands und der Alpen, wird heute aber auch h?ufig in G?rten kultiviert. Sie zeigt exemplarisch, dass Bl?te nicht an W?rme gebunden ist, sondern an passende Anpassungen. Finde eine Christrose und entdecke, warum manche Pflanzen gerade dann bl?hen, wenn andere ruhen.","Scanne eine bl?hende Christrose oder eine Pflanze mit deutlich erkennbaren Knospen.","Blumen","1","Helleborus","","6946cf0c482ecd0dce3aefe3","2025-12-20T16:30:04.758000","2025-12-20T16:30:04.758000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"245","Leben unter der Eisdecke","?berwinterung im Schlamm ? w?hrend oben alles erstarrt.
Wenn Seen und Teiche im Winter ruhig wirken, zieht sich das Leben vieler Wasserpflanzen unter die Oberfl?che zur?ck. Der Rohrkolben verliert seine gr?nen Bl?tter, doch im Schlamm ?berdauern kr?ftige unterirdische Sprosse den Frost. Dort bleiben sie vor K?lte gesch?tzt und speichern N?hrstoffe f?r den Neuaustrieb im Fr?hjahr. Gleichzeitig stabilisieren abgestorbene Halme das Ufer und bieten V?geln und Insekten Schutz. Der Rohrkolben zeigt exemplarisch, dass Gew?sser im Winter nicht tot sind ? sie wechseln nur ihre Ebene. Finde einen Rohrkolben am Ufer und entdecke, wie Pflanzen Wasser und Boden als Winterversteck nutzen.","Scanne einen Rohrkolbenbestand mit trockenen Fruchtst?nden oder abgestorbenen Halmen.","Blumen","1","Rohrkolben","","6946cd0f779b54c50cdc1591","2025-12-20T16:21:35.463000","2025-12-20T16:21:35.463000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"244","Gr?n trotz Frost: Warum Nadeln nicht fallen","Ein Baum, der den Winter nicht meidet, sondern f?r ihn gebaut ist.
Die Fichte beh?lt ihre Nadeln auch im Winter. Statt breiter Bl?tter besitzt sie schmale, wachs?berzogene Nadeln, die wenig Wasser verdunsten und Frost gut ?berstehen. Ihre kegelf?rmige Krone l?sst Schnee leicht abrutschen, sodass ?ste nicht brechen. Auch im Winter kann die Fichte bei milden Temperaturen Photosynthese betreiben. Ihre Zapfen reifen ?ber Monate hinweg und geben die Samen oft erst im Sp?twinter frei. Die Fichte zeigt exemplarisch, wie B?ume an K?lte, Schnee und N?hrstoffarmut angepasst sind. Finde eine Fichte und entdecke, warum Nadelb?ume den Winter nicht f?rchten.","Scanne eine Fichte mit Nadeln oder Zapfen.","B?ume","1","Fichte","","6946cbcdc25aa6aaf8db8a56","2025-12-20T16:16:13.504000","2025-12-20T16:16:13.504000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"243","Gr?n, wenn andere gehen","Immergr?n, sp?tbl?hend und eine wichtige Pflanze f?r den ?bergang in den Winter.
Der Efeu bleibt gr?n, wenn viele andere Pflanzen ihre Bl?tter l?ngst verloren haben. Seine ledrigen Bl?tter sind besonders widerstandsf?hig gegen K?lte und Verdunstung. Eine Besonderheit: Der Efeu bl?ht sehr sp?t im Jahr ? oft erst im September oder Oktober ? und bietet Insekten damit eine der letzten Nahrungsquellen vor dem Winter. Sp?ter reifen seine Beeren und versorgen V?gel in der kalten Jahreszeit. Der Efeu zeigt exemplarisch, dass manche Pflanzen nicht in die Winterruhe fliehen, sondern den Sp?therbst aktiv nutzen. Finde einen Efeu und entdecke, warum immergr?ne Pflanzen im Jahreskreislauf eine besondere Rolle spielen.","Scanne einen Efeu mit gr?nen Bl?ttern, Bl?tenst?nden oder Beeren.","Str?ucher","1","Efeu","","6946ca84568a883e40052a27","2025-12-20T16:10:44.803000","2025-12-20T16:10:44.803000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
