"genus_category","genus_number","species_name","scientific_name","description","identification_features","fun_fact","rarity","id","created_date","updated_date","created_by_id"
"Blumen","95","Gartenchrysantheme","Chrysanthemum indicum","Die Gartenchrysantheme ist eine beliebte Zierpflanze, die in zahlreichen Farben und Formen erhältlich ist. Sie wird häufig in Gärten und als Schnittblume verwendet und blüht typischerweise im Herbst.","Die Pflanze zeichnet sich durch ihre auffälligen, gefächerten Blütenköpfe und das grüne, gezackte Laub aus. Sie kann in verschiedenen Farben, einschließlich Gelb, Weiß, Rot und Pink, blühen.","Wusstest du, dass Chrysanthemen in Japan als Symbol für das Leben und die Freude angesehen werden? Sie sind so beliebt, dass es sogar einen Feiertag gibt, der den Chrysanthemen gewidmet ist!","Häufig","69837d18a0bd41c5926cc6c4","2026-02-04T17:08:40.942000","2026-02-04T17:08:40.942000","68ed5acb3c768a7480fef6a0"
"Blumen","69","Duft-Minze","Mentha suaveolens","Die Duft-Minze ist eine mehrjährige Pflanze, die durch ihre aromatischen Blätter besticht, die beim Zerreiben einen angenehmen Geruch verströmen. Sie wächst häufig in feuchten Wiesen und am Rande von Gewässern.","Die Pflanze hat behaarte, grüne Stängel und gegenständige Blätter, die oval und gezackt sind. Die Blüten sind meist rosa bis lila und in dichten, ährenförmigen Trauben angeordnet.","Die Duft-Minze wird oft in Tees verwendet und kann auch Kartoffeln oder Salate würzen!","Häufig","6971134f63049da0ad178b07","2026-01-21T17:56:31.792000","2026-01-21T17:56:31.792000","697110fc201995b7c23c0638"
"Blumen","69","Pfefferminze","Mentha × piperita","Die Pfefferminze ist eine beliebte aromatische Pflanze, die für ihren intensiven mentholigen Duft bekannt ist. Sie wird häufig in der Küche und für die Herstellung von Tees und Süßigkeiten verwendet.","Pfefferminze hat schmale, gezähnte Blätter mit einer glänzenden Oberfläche und kann bis zu einem Meter hoch wachsen. Die Blüten sind kleine, lila bis rosa Farbtöne und wachsen gruppiert in Ähren.","Wusstest du, dass Pfefferminze für das berühmte Pfefferminz-Eis verwendet wird? Es ist eine süße und kühle Leckerei, die viele Menschen lieben!","Häufig","6971127bfcdaf403df5b689a","2026-01-21T17:52:59.721000","2026-01-21T17:52:59.721000","697110fc201995b7c23c0638"
"Blumen","94","Garten-Kerbel","Anthriscus cerefolium","Der Garten-Kerbel ist eine einjährige Pflanze, die in Gemüsegärten weit verbreitet ist. Er hat zarte, gefiederte Blätter und produziert kleine weiße Blüten, die in Dolden angeordnet sind.","Die Blätter sind grün, gefiedert und haben einen angenehmen, aromatischen Duft. Die Blüten sind klein und weiß, während die Früchte schmal und gefurcht sind.","Die Blätter des Garten-Kerbels sind ein beliebtes Gewürz und werden oft in Suppen und Salaten verwendet, um ihnen einen frischen Geschmack zu verleihen!","Häufig","696ccd5f193864f1f64f805f","2026-01-18T12:09:03.439000","2026-01-18T12:09:03.439000","68ed5acb3c768a7480fef6a0"
"Bäume","22","Kriechender Wacholder","Juniperus procumbens","Der kriechende Wacholder ist ein niedrig wachsender, immergrüner Strauch, der oft als Bodendecker verwendet wird. Die Pflanze hat schuppenartige Blätter und trägt kleine, blaue Beeren, die von Vögeln gerne gefressen werden.","Er ist charakteristisch durch seine kriechende Wuchsform, seine kleinen, schuppenförmigen Blätter und die blauen Beeren.","Die Beeren des Wacholders werden oft zur Herstellung von Gin verwendet, und einige Tiere nutzen die Pflanzenstruktur als Unterschlupf.","Gelegentlich","694be598450d1434e3d43066","2025-12-24T13:07:36.453000","2025-12-24T13:07:36.453000","68ed5acb3c768a7480fef6a0"
"Sträucher","37","Rankende Waldrebe","Clematis vitalba","Die Rankende Waldrebe ist eine kletternde Pflanze, die vor allem in lichten Wäldern und an Zaunrändern wächst. Sie trägt auffällige, weiße Blüten und entwickelt später flauschige Samenstände, die im Herbst sehr dekorativ sind.","Kennzeichnend sind die gefiederten Blätter und die großen, weißen Blüten, die in Rispen erscheinen. Im Herbst sind die Samenkapseln besonders auffällig und pelzig.","Die Kinder können beobachten, wie die Pflanze um andere Objekte klettert und sich dabei wie ein kleiner Akrobat verhält!","Häufig","694be2f1a711eb2185a3a07a","2025-12-24T12:56:17.547000","2025-12-24T12:56:17.547000","68ed5acb3c768a7480fef6a0"
"Blumen","93","Küsten-Meerkohl","Crambe maritima","Der Küsten-Meerkohl ist eine mehrjährige Pflanze, die häufig in sandigen Küstenregionen vorkommt. Sie hat fleischige Blätter und auffällige, weiße oder cremefarbene Blüten, die in dichten Trauben angeordnet sind.","Die Pflanze hat große, tiefgrüne, fleischige Blätter, die oft eine ausgeprägte Wuchsform aufweisen. Die Blüten sind klein, weiß oder creme und wachsen in einer dichten Traube.","Die Blätter des Küsten-Meerkohls sind essbar und schmecken ähnlich wie Kohl, was ihn zu einer nahrhaften Wahl für Mensch und Tier macht.","Gelegentlich","694a9a654057ee2b098716b3","2025-12-23T13:34:29.143000","2025-12-23T13:34:29.143000","68f74de059737140aeca0a36"
"Blumen","92","Gemeiner Fenchel","Foeniculum vulgare","Der Gemeine Fenchel ist eine aromatische Pflanze, die oft in der Küche verwendet wird. Er hat gefiederte Blätter und bildet große gelbe Doldenblüten, die im Sommer blühen. Die Pflanze ist nicht nur geschätzt für ihren Geschmack, sondern auch für ihre gesundheitsfördernden Eigenschaften.","Der Gemeine Fenchel hat charakteristische, gefiederte Blätter und trägt gelbe Blüten, die in Dolden angeordnet sind. Die Pflanze kann bis zu 2 Meter hoch werden und hat einen kugeligen, knolligen Ansatz.","Wusstest du, dass die Samen des Fenchels in der Küche oft als Gewürz verwendet werden und einen süßlichen, anisähnlichen Geschmack haben?","Häufig","694a9980c42f57c77ab7510c","2025-12-23T13:30:40.618000","2025-12-23T13:30:40.618000","68f74de059737140aeca0a36"
"Blumen","91","Gewöhnlicher Nadelkerbel","Scandix pecten-veneris","Der Gewöhnliche Nadelkerbel ist eine einjährige krautige Pflanze, die in feuchten Wiesen und an Wegesrändern wächst. Sie ist bekannt für ihre feinen, nadelartigen Blätter und die weißen Doldenblüten, die in den Sommermonaten erscheinen.","Die Pflanze hat dünne, gefiederte Blätter und trägt kleine weiße Blüten in Dolden. Ihre Stängel sind hohl und die Früchte sind schmal und länglich.","Die Samen des Nadelkerbels sind sehr leicht und können vom Wind über weite Strecken verbreitet werden, was ihm hilft, sich schnell in neuen Gebieten anzusiedeln.","Häufig","694a995e0c278f7621e9fdb9","2025-12-23T13:30:06.328000","2025-12-23T13:30:06.328000","68f74de059737140aeca0a36"
"Blumen","90","Echte Saatwucherblume","Glebionis segetum","Die Echte Saatwucherblume ist eine einjährige Pflanze, die auf Feldern und in störungsreichen Lebensräumen vorkommt. Sie hat leuchtend gelbe Blüten und eine aufrechte Wuchsform.","Die Pflanze hat auffällige gelbe Blüten mit einem Durchmesser von etwa 4 bis 5 cm und gefiederte Blätter. Sie wächst bis zu 50 cm hoch.","Die Blüten der Saatwucherblume sind bei Bienen und anderen Insekten sehr beliebt und helfen, die Artenvielfalt in der Umgebung zu unterstützen.","Häufig","694a98ccf14ac01886f5ffd5","2025-12-23T13:27:40.288000","2025-12-23T13:27:40.288000","68f74de059737140aeca0a36"
