"quest_number","title","description","requirement","category","required_discoveries","target_genus_name","target_species_name","id","created_date","updated_date","created_by_id","created_by"
"112","🌲 Dezember – Grün bleibt","Der Dezember ist geprägt von Kälte, Dunkelheit und Ruhe. Und doch gibt es Pflanzen, die sichtbar bleiben und den Winter begleiten. Diese Quest lädt dich ein, auf die stillen Konstanten zu achten – auf das, was bleibt, während vieles pausiert.","Scanne 15 Dinge, die auch im Winter sichtbar oder aktiv sind.","Alle","15","","","69484375f264c9420491878a","2025-12-21T18:59:01.010000","2025-12-21T19:03:34.754000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"111","🌫️ November – Rückzug","Der November wirkt oft still und reduziert. Viele Pflanzen ziehen sich zurück, andere bleiben als Strukturen sichtbar. Diese Quest ermutigt dich, auch im scheinbar Leeren Spannendes zu entdecken und zu erkennen, dass Rückzug ein aktiver Teil des Lebens ist.","Scanne 15 Beobachtungen, die zeigen, wie sich Pflanzen vorbereiten.","Alle","15","","","694842f82164d6194fba6e5d","2025-12-21T18:56:56.047000","2025-12-21T19:03:30.797000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"110","🍁 Oktober – Farben & Formen","Der Oktober bringt Kontraste: Leuchtende Farben, klare Formen. Laub und Leben. Diese Quest lädt dich ein, Details zu entdecken – Blätter, Strukturen, Samen oder Pflanzenreste – und den Herbst mit offenen Augen zu erleben.","Scanne 15 Pflanzen oder Naturdetails, die dir ins Auge fallen.","Alle","15","","","694842d455a7c049e8ba9989","2025-12-21T18:56:20.726000","2025-12-21T19:03:24.495000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"109","🍂 September – Wandel","Im September beginnt sich die Stimmung zu verändern. Wachstum wird langsamer, Farben und Formen wandeln sich, erste Abschiede werden sichtbar. Diese Quest ermutigt dich, genau hinzusehen und Übergänge bewusst wahrzunehmen – denn Wandel ist ein wichtiger Teil des Jahreskreislaufs.","Scanne 15 Dinge, die zeigen, dass sich die Natur verändert.","Alle","15","","","6948426f142614fda413b60d","2025-12-21T18:54:39.195000","2025-12-21T19:03:20.820000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"108","🍓 August – Reifezeit","Der August ist geprägt von Reife. Früchte, Samen und ausgereifte Pflanzen zeigen, dass der Sommer seinen Zweck erfüllt. Diese Quest lädt dich ein, Zeichen der Vollendung zu entdecken und wahrzunehmen, wie die Natur sich auf den nächsten Abschnitt vorbereitet.","Scanne 15 Pflanzen oder Früchte, die den Sommer voll ausnutzen.","Alle","15","","","6948423c8c047c67d1da3f90","2025-12-21T18:53:48.750000","2025-12-21T19:03:14.996000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"107","🌾 Juli – Hitze & Anpassung","Der Hochsommer fordert Pflanzen heraus. Sonne, Hitze und Trockenheit bestimmen vielerorts den Alltag. Mit dieser Quest kannst du beobachten, wie unterschiedlich Pflanzen mit diesen Bedingungen umgehen – durch robuste Blätter, tiefes Wurzeln oder kurze Wachstumsphasen.","Scanne 15 Pflanzen, die mit Sonne und Trockenheit umgehen.","Alle","15","","","6948421bf93a600493356abf","2025-12-21T18:53:15.848000","2025-12-21T19:03:07.683000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"106","🌞 Juni – Sommerfülle","Im Juni erreicht das Wachstum seinen Höhepunkt. Pflanzen stehen in voller Kraft, Blätter und Blüten prägen das Landschaftsbild. Diese Quest lädt dich ein, die Fülle des Frühsommers zu entdecken und wahrzunehmen, wie viel Energie jetzt in der Natur steckt.","Scanne 15 Pflanzen, die gerade besonders kräftig wachsen oder blühen.","Alle","15","","","694841f4d1d50082f43ed1d1","2025-12-21T18:52:36.308000","2025-12-21T19:02:52.361000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"105","🌼 Mai – Draußen zuhause","Der Mai ist der Monat, in dem sich draußen vieles selbstverständlich anfühlt. Pflanzen wachsen üppig, Wege laden zum Verweilen ein, und die Natur zeigt sich von ihrer offenen Seite. Diese Quest ermutigt dich, Zeit draußen zu verbringen und das Gewachsene, Blühende und Lebendige bewusst wahrzunehmen.","Scanne 15 Beobachtungen auf Spaziergängen in deiner Umgebung.","Alle","15","","","694841b240f2cf113b45d878","2025-12-21T18:51:30.306000","2025-12-21T19:02:46.703000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"104","🌸 April – Vielfalt entdecken","Im April wird die Landschaft bunter und lebendiger. Unterschiedliche Pflanzen erscheinen gleichzeitig, Lebensräume wirken plötzlich vielfältig und dynamisch. Diese Quest lädt dich ein, bewusst verschiedene Eindrücke zu sammeln und wahrzunehmen, wie abwechslungsreich Natur auf kleinem Raum sein kann.","Scanne 15 unterschiedliche Pflanzen oder Lebensräume.","Alle","15","","","694841777a79248f02796b2e","2025-12-21T18:50:31.717000","2025-12-21T19:02:37.639000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"103","🌿 März - Aufbruch","Der März ist ein Übergangsmonat: Nicht mehr ganz Winter, noch nicht richtig Frühling. Überall beginnt es zu treiben, zu wachsen und sich neu zu ordnen. Mit dieser Quest sammelst du Eindrücke eines Neubeginns. Scanne, was dir auf deinen Wegen begegnet, und beobachte, wie die Natur langsam wieder in Bewegung kommt.","Scanne 15 Pflanzen oder Naturbeobachtungen, die neu erscheinen.","Alle","15","","","69484120fecd731daec159ea","2025-12-21T18:49:04.699000","2025-12-21T19:02:34.166000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
